ID	Project	Region_People	Time	Group
S19ZYA4	CMP_multitime	P4	2019_01	
S19ZYA5	CMP_multitime	P5	2019_01	
S19ZYB1	CMP_multitime	P1	2019_02	
S19ZYB2	CMP_multitime	P2	2019_02	
S19ZYB4	CMP_multitime	P4	2019_02	
S19ZYB5	CMP_multitime	P5	2019_02	
S19ZYC1	CMP_multitime	P1	2019_03	
S19ZYC2	CMP_multitime	P2	2019_03	
S19ZYC4	CMP_multitime	P4	2019_03	
S19ZYC5	CMP_multitime	P5	2019_03	
S19ZYD1	CMP_multitime	P1	2019_04	
S19ZYD2	CMP_multitime	P2	2019_04	
S19ZYD3	CMP_multitime	P3	2019_04	
S19ZYD4	CMP_multitime	P4	2019_04	
S19ZYD5	CMP_multitime	P5	2019_04	
S19ZYE1	CMP_multitime	P1	2019_05	
S19ZYE2	CMP_multitime	P2	2019_05	
S19ZYE4	CMP_multitime	P4	2019_05	
S19ZYE5	CMP_multitime	P5	2019_05	
S19ZYE6	CMP_multitime	P6	2019_05	
S19ZYF07	CMP_multitime	P7	2019_06	
S19ZYF1	CMP_multitime	P1	2019_06	
S19ZYF2	CMP_multitime	P2	2019_06	
S19ZYF4	CMP_multitime	P4	2019_06	
S19ZYF5	CMP_multitime	P5	2019_06	
S19ZYF6	CMP_multitime	P6	2019_06	
S19ZYG1	CMP_multitime	P1	2019_07	
S19ZYG2	CMP_multitime	P2	2019_07	
S19ZYG5	CMP_multitime	P5	2019_07	
S19ZYG7	CMP_multitime	P7	2019_07	
S19ZYH1	CMP_multitime	P1	2019_08	
S19ZYH2	CMP_multitime	P2	2019_08	
S19ZYH4	CMP_multitime	P4	2019_08	
S19ZYH5	CMP_multitime	P5	2019_08	
S19ZYH6	CMP_multitime	P6	2019_08	
S19ZYI1	CMP_multitime	P1	2019_09	
S19ZYI4	CMP_multitime	P4	2019_09	
S19ZYL1	CMP_multitime	P1	2019_12	
S19ZYL2	CMP_multitime	P2	2019_12	
S19ZYL7	CMP_multitime	P7	2019_12	
S20ZYA1	CMP_multitime	P1	2020_01	
S20ZYA4	CMP_multitime	P4	2020_01	
S20ZYA6	CMP_multitime	P6	2020_01	
S20ZYD1	CMP_multitime	P1	2020_04	
S20ZYD7	CMP_multitime	P7	2020_04	
S20ZYE1	CMP_multitime	P1	2020_05	
S20ZYE4	CMP_multitime	P4	2020_05	
S20ZYE5	CMP_multitime	P5	2020_05	
S20ZYE6	CMP_multitime	P6	2020_05	
20ZYF1	CMP_multitime	P7	2020_06	
S20ZYF2	CMP_multitime	P2	2020_06	
S20ZYF4	CMP_multitime	P4	2020_06	
S20ZYF5	CMP_multitime	P5	2020_06	
S20ZYF6	CMP_multitime	P6	2020_06	
S20ZYF7	CMP_multitime	P1	2020_06	
S20ZYG1	CMP_multitime	P1	2020_07	
S20ZYG2	CMP_multitime	P2	2020_07	
S20ZYG4	CMP_multitime	P4	2020_07	
S20ZYG5	CMP_multitime	P5	2020_07	
S20ZYG6	CMP_multitime	P6	2020_07	
S20ZYG7	CMP_multitime	P7	2020_07	
S20ZYH2	CMP_multitime	P2	2020_08	
S20ZYH4	CMP_multitime	P4	2020_08	
S20ZYH5	CMP_multitime	P5	2020_08	
S20ZYH6	CMP_multitime	P6	2020_08	
S20ZYI1	CMP_multitime	P1	2020_09	
S20ZYI2	CMP_multitime	P2	2020_09	
S20ZYI4	CMP_multitime	P4	2020_09	
S20ZYI5	CMP_multitime	P5	2020_09	
S20ZYI6	CMP_multitime	P6	2020_09	
S20ZYI7	CMP_multitime	P7	2020_09	
S21ZYC1	CMP_multitime	P1	2021_03	
S21ZYC2	CMP_multitime	P2	2021_03	
S21ZYC4	CMP_multitime	P4	2021_03	
S21ZYC5	CMP_multitime	P5	2021_03	
